,text
10,"New search and rescue robots will eliminate several on-the-job risks for first responders. These robots will aid humans while reducing risks, protecting first responders from unnecessary harm and allowing more lives to be saved. Drones are being used by firefighters to provide invaluable information such as the smoke direction and layout of fires. A firefighting robot called Colossus features a powerful water cannon and can carry up to 1,200 pounds. It helped put out the Notre Dame Cathedral fire earlier this year. Snake and spider-like robots are being developed for search-and-rescue missions which require searching through rubble and other difficult terrains. These technologies are being hindered by a lack of funding and public support."
11,Domain Specific Languages are used to provide a tailored modelling notation for a specific application domain. There are currently two main approaches to DSLs: standard notations that are tailored by adding simple properties; new notations that are designed from scratch. There are problems with both of these approaches which can be addressed by providing access to a small meta-language based on packages and classes. A meta-modelling approach based on meta-packages allows a wide range of DSLs to be defined in a standard way. The DSLs can be processed using standard object-based extension at the meta-level and existing tooling can easily be defined to adapt to the new languages. This paper introduces the concept of meta-packages and provides a simple example.
12,"Supervised machine learning (ML) algorithms are aimed at maximizing classification performance under available energy and storage constraints. They try to map the training data to the corresponding labels while ensuring generalizability to unseen data. However, they do not integrate meaning-based relationships among labels in the decision process. On the other hand, natural language processing (NLP) algorithms emphasize the importance of semantic information. In this paper, we synthesize the complementary advantages of supervised ML and natural language processing algorithms into one method that we refer to as SECRET (Semantically Enhanced Classification of REal-world Tasks). SECRET performs classifications by fusing the semantic information of the labels with the available data: it combines the feature space of the supervised algorithms with the semantic space of the NLP algorithms and predicts labels based on this joint space. Experimental results indicate that, compared to traditional supervised learning, SECRET achieves up to 13.9 accuracy and 13.5 F1 score improvements. Moreover, compared to ensemble methods, SECRET achieves up to 12.6 accuracy and 13.8 F1 score improvements. This points to a new research direction for supervised classification by incorporating semantic information."
13,"Despite many recent advances for the design of dialogue systems, a true bottleneck remains the acquisition of data required to train its components. Unlike many other language processing applications, dialogue systems require interactions with users, therefore it is complex to develop them with pre-recorded data. Building on previous works, on-line learning is pursued here as a most convenient way to address the issue. Data collection, annotation and use in learning algorithms are performed in a single process. The main difficulties are then: to bootstrap an initial basic system, and to control the level of additional cost on the user side. Considering that well-performing solutions can be used directly off the shelf for speech recognition and synthesis, the study is focused on learning the spoken language understanding and dialogue management modules only. Several variants of joint learning are investigated and tested with user trials to confirm that the overall on-line learning can be obtained after only a few hundred training dialogues and can overstep an expert-based system."
14,"A likelihood encoder is studied in the context of lossy source compression. The analysis of the likelihood encoder is based on the soft-covering lemma. It is demonstrated that the use of a likelihood encoder together with the soft-covering lemma yields simple achievability proofs for classical source coding problems. The cases of the point-to-point rate-distortion function, the rate-distortion function with side information at the decoder (i.e. the Wyner-Ziv problem), and the multi-terminal source coding inner bound (i.e. the Berger-Tung problem) are examined in this paper. Furthermore, a non-asymptotic analysis is used for the point-to-point case to examine the upper bound on the excess distortion provided by this method. The likelihood encoder is also related to a recent alternative technique using properties of random binning."
15,"BGP (Border Gateway Protocol) is a mechanism for exchanging routing information between autonomous systems on the Internet. The Internet is a network of networks bound together by BGP. BGP allows one network to advertise its presence to all of the other networks that form the Internet. Facebook's recent outage was caused by a configuration change that caused its servers to stop announcing the routes to its DNS prefixes, making Facebook's DNS servers unavailable. More details about how the outage occurred are available in the article."
16,"The US Army has unveiled augmented reality goggles designed for combat dogs to let them receive orders at a distance. Soldiers usually direct their dogs using hand signals or laser pointers, which requires the handler to be close by. Using the AR goggles, the dogs can be directed via visual indicators and the handler can see what the dog sees through a remote video feed. Military dogs are already trained to wear goggles as protection. The project is still in its early research stages, but the results are extremely promising."
17,"This paper is on highly accurate and highly efficient human pose estimation. Recent works based on Fully Convolutional Networks (FCNs) have demonstrated excellent results for this difficult problem. While residual connections within FCNs have proved to be quintessential for achieving high accuracy, we re-analyze this design choice in the context of improving both the accuracy and the efficiency over the state-of-the-art. In particular, we make the following contributions: (a) We propose gated skip connections with per-channel learnable parameters to control the data flow for each channel within the module within the macro-module. (b) We introduce a hybrid network that combines the HourGlass and U-Net architectures which minimizes the number of identity connections within the network and increases the performance for the same parameter budget. Our model achieves state-of-the-art results on the MPII and LSP datasets. In addition, with a reduction of 3 in model size and complexity, we show no decrease in performance when compared to the original HourGlass network."
18,"Consider the following problem. A seller has infinite copies of n products represented by nodes in a graph. There are m consumers, each has a budget and wants to buy two products. Consumers are represented by weighted edges. Given the prices of products, each consumer will buy both products she wants, at the given price, if she can afford to. Our objective is to help the seller price the products to maximize her profit. This problem is called graph vertex pricing (GVP) problem and has resisted several recent attempts despite its current simple solution. This motivates the study of this problem on special classes of graphs. In this paper, we study this problem on a large class of graphs such as graphs with bounded treewidth, bounded genus and k -partite graphs. We show that there exists an FPTAS for GVP on graphs with bounded treewidth. This result is also extended to an FPTAS for the more general single-minded pricing problem. On bounded genus graphs we present a PTAS and show that GVP is NP -hard even on planar graphs. We study the Sherali-Adams hierarchy applied to a natural Integer Program formulation that ( 1 ) -approximates the optimal solution of GVP . Sherali-Adams hierarchy has gained much interest recently as a possible approach to develop new approximation algorithms. We show that, when the input graph has bounded treewidth or bounded genus, applying a constant number of rounds of Sherali-Adams hierarchy makes the integrality gap of this natural LP arbitrarily small, thus giving a ( 1 ) -approximate solution to the original GVP instance. On k -partite graphs, we present a constant-factor approximation algorithm. We further improve the approximation factors for paths, cycles and graphs with degree at most three."
19,"We present an approach to synthesize whisper by applying a handcrafted signal processing recipe and Voice Conversion (VC) techniques to convert normally phonated speech to whispered speech. We investigate using Gaussian Mixture Models (GMM) and Deep Neural Networks (DNN) to model the mapping between acoustic features of normal speech and those of whispered speech. We evaluate naturalness and speaker similarity of the converted whisper on an internal corpus and on the publicly available wTIMIT corpus. We show that applying VC techniques is significantly better than using rule-based signal processing methods and it achieves results that are indistinguishable from copy-synthesis of natural whisper recordings. We investigate the ability of the DNN model to generalize on unseen speakers, when trained with data from multiple speakers. We show that excluding the target speaker from the training set has little or no impact on the perceived naturalness and speaker similarity of the converted whisper. The proposed DNN method is used in the newly released Whisper Mode of Amazon Alexa."
20,Kate was at her garbage can on a dark night. And a raccoon was standing near the can. It started to come towards her. Kate turned and ran to the house hoping it wasn't behind her. Once inside was relieved to see it hadn't followed her.
21,"Karl woke up in a terrible mood. The first thing he did was spill coffee on his clean white shirt. He swore and screamed and punched his door. After that, he changed his shirt and left his house. He met his girlfriend at the beach and took his shirt off."
22,"Finding communities or clusters in social networks is a famous topic in social network analysis. Most algorithms are limited to static snapshots, so they cannot handle dynamics within the underlying graph. In this paper we present a modification of the Louvain community detection method to handle changes in the graph without rerunning the full algorithm. Also, we adapted the Louvain greedy approach to optimize the Infomap measure. The main idea is, to recalculate only a small area around the changes. Depending on the graph size and the amount of changes, this yields a massive runtime decrease. As validation data, we provide a graph generator, which produces specific community structures, at given times and also intermediate steps to transform the graph from one to another specific graph. Experiments show that runtime decrease is possible without much loss of quality. These values depend on the reprocessed area inside the graph."
23,"Despite many recent advances for the design of dialogue systems, a true bottleneck remains the acquisition of data required to train its components. Unlike many other language processing applications, dialogue systems require interactions with users, therefore it is complex to develop them with pre-recorded data. Building on previous works, on-line learning is pursued here as a most convenient way to address the issue. Data collection, annotation and use in learning algorithms are performed in a single process. The main difficulties are then: to bootstrap an initial basic system, and to control the level of additional cost on the user side. Considering that well-performing solutions can be used directly off the shelf for speech recognition and synthesis, the study is focused on learning the spoken language understanding and dialogue management modules only. Several variants of joint learning are investigated and tested with user trials to confirm that the overall on-line learning can be obtained after only a few hundred training dialogues and can overstep an expert-based system."
24,"This paper addresses the problem of stably recovering sparse or compressible signals from compressed sensing measurements that have undergone optimal non-uniform scalar quantization, i.e. , minimizing the common 2 -norm distortion. Generally, this Quantized Compressed Sensing (QCS) problem is solved by minimizing the 1 -norm constrained by the 2 -norm distortion. In such cases, re-measurement and quantization of the reconstructed signal do not necessarily match the initial observations, showing that the whole QCS model is not consistent . Our approach considers instead that quantization distortion more closely resembles heteroscedastic uniform noise, with variance depending on the observed quantization bin. Generalizing our previous work on uniform quantization, we show that for non-uniform quantizers described by the ""compander"" formalism, quantization distortion may be better characterized as having bounded weighted p -norm ( p 2), for a particular weighting. We develop a new reconstruction approach, termed Generalized Basis Pursuit DeNoise (GBPDN), which minimizes the 1 -norm of the signal to reconstruct constrained by this weighted p -norm fidelity. We prove that, for standard Gaussian sensing matrices and K sparse or compressible signals in R N with at least K log N K) p 2) measurements, i.e. , under strongly oversampled QCS scenario, GBPDN is - 2 1 instance optimal and stable recovers all such sparse or compressible signals. The reconstruction error decreases as O ( 2 - B p 1) given a budget of B bits per measurement. This yields a reduction by a factor p 1 of the reconstruction error compared to the one produced by 2 -norm constrained decoders. We also propose an primal-dual proximal splitting scheme to solve the GBPDN program which is efficient for large-scale problems. Interestingly, extensive simulations testing the GBPDN effectiveness confirm the trend predicted by the theory, that the reconstruction error can indeed be reduced by increasing p , but this is achieved at a much less stringent oversampling regime than the one expected by the theoretical bounds. Besides the QCS scenario, we also show that GBPDN applies straightforwardly to the related case of CS measurements corrupted by heteroscedastic Generalized Gaussian noise with provable reconstruction error reduction."
25,"A multi-armed bandit with finitely many arms is studied when each arm is a homogeneous Markov process on an underlying finite state space. The transition law of one of the arms, referred to as the odd arm, is different from the common transition law of all other arms. A learner, who has no knowledge of the above transition laws, has to devise a sequential test to identify the index of the odd arm as quickly as possible, subject to an upper bound on the probability of error. For this problem, we derive an asymptotic lower bound on the expected stopping time of any sequential test of the learner, where the asymptotics is as the probability of error vanishes. Furthermore, we propose a sequential test, and show that the asymptotic behaviour of its expected stopping time comes arbitrarily close to that of the lower bound. Prior works deal with independent and identically distributed arms, whereas our work deals with Markov arms. Our analysis of the rested Markov setting is a key first step in understanding the difficult case of restless Markov setting, which is still open."
26,"Multi-target multi-camera tracking (MTMCT) systems track targets across cameras. Due to the continuity of target trajectories, tracking systems usually restrict their data association within a local neighborhood. In single camera tracking, local neighborhood refers to consecutive frames; in multi-camera tracking, it refers to neighboring cameras that the target may appear successively. For similarity estimation, tracking systems often adopt appearance features learned from the re-identification (re-ID) perspective. Different from tracking, re-ID usually does not have access to the trajectory cues that can limit the search space to a local neighborhood. Due to its global matching property, the re-ID perspective requires to learn global appearance features. We argue that the mismatch between the local matching procedure in tracking and the global nature of re-ID appearance features may compromise MTMCT performance. To fit the local matching procedure in MTMCT, in this work, we introduce locality aware appearance metric (LAAM). Specifically, we design an intra-camera metric for single camera tracking, and an inter-camera metric for multi-camera tracking. Both metrics are trained with data pairs sampled from their corresponding local neighborhoods, as opposed to global sampling in the re-ID perspective. We show that the locally learned metrics can be successfully applied on top of several globally learned re-ID features. With the proposed method, we report new state-of-the-art performance on the DukeMTMC dataset, and a substantial improvement on the CityFlow dataset."
27,"I finished a collection of short stories today. I started years ago, then stopped. I started again in 2011. I stopped until 2013. I wrote my 50,000th word tonight!"
28,"Cine cardiac magnetic resonance (CMR) has become the gold standard for the non-invasive evaluation of cardiac function. In particular, it allows the accurate quantification of functional parameters including the chamber volumes and ejection fraction. Deep learning has shown the potential to automate the requisite cardiac structure segmentation. However, the lack of robustness of deep learning models has hindered their widespread clinical adoption. Due to differences in the data characteristics, neural networks trained on data from a specific scanner are not guaranteed to generalise well to data acquired at a different centre or with a different scanner. In this work, we propose a principled solution to the problem of this domain shift. Domain-adversarial learning is used to train a domain-invariant 2D U-Net using labelled and unlabelled data. This approach is evaluated on both seen and unseen domains from the MMs challenge dataset and the domain-adversarial approach shows improved performance as compared to standard training. Additionally, we show that the domain information cannot be recovered from the learned features."
29,"We present a novel approach of creating face makeup upon a face image with another images as the style examples. Our approach is analogous to physical makeup, as we modify the color and skin details while preserving the face structure. More precisely, we extract image foregrounds from both subject and multiple example images. Then by using image matting algorithms, the system extracts the semantic information such as faces, lips, teeth, eyes, eyebrows, etc., from the extracted foregrounds of both subject and multiple example images. And, then the makeup style is transferred between the corresponding parts with the same semantic information. Next we get the face makeup transferred result by seamlessly compositing different parts together using alpha blending. In the final step, we present an efficient method of makeup consistency to optimize the color of a collection of images showing the common scene. The main advantage of our method over existing techniques is that it does not need face matching, as one could use more than one example images. Because one example image does not fulfill the complete requirements of a user. Our algorithm is not restricted to head shot images as we can also change the makeup style in the wild. Moreover, our algorithm does not require to choose the same pose and image size between subject and example images. The experiment results demonstrate the effectiveness of the proposed method in faithfully transferring makeup."
30,Cindy hated valentine's day. It was the day her heart got broken. Valentine's day came around next year. Cindy was alone. Cindy stayed alone every single valentine's day.
31,"Michael had always wanted to see Los Angeles. He finally planned a trip to the famed city. In Los Angeles, Michael tried local food and visited museums. It was truly the trip of a lifetime. Michael is so happy he finally saw Los Angeles."
32,"While in Brazil, John want to see the banana plantations. He thought it would be a lot of fun. HE paid a tour guide for a tour. On the way he saw the shacks that the workers lived in. John realized the banana industry wasn't as much fun as he thought."
33,"OpenAI's API is now available to developers in supported countries. The waitlist for GPT-3 has been removed thanks to new safeguards. There is now a free content filter to help developers mitigate abuse, and OpenAI will review applications before they go live, monitor for misuse, and support developers as their product scales. OpenAI has updated its Content Guidelines to clarify what kind of content its API can generate. More use cases will be allowed over time as the system is improved."
34,"Tom was dating a nice lady. Soon, they were in a relationship together for months. His girlfriend informed him that he regularly smelled bad. Tom never wore deodorant before this. Tom began wearing deodorant to the delight of his girlfriend."
35,"State-of-the-art pedestrian detection models have achieved great success in many benchmarks. However, these models require lots of annotation information and the labeling process usually takes much time and efforts. In this paper, we propose a method to generate labeled pedestrian data and adopt them to support the training of pedestrian detectors. The proposed framework is built on the Generative Adversarial Network (GAN) with multiple discriminators, trying to synthesize realistic pedestrians and learn the background context simultaneously. To handle the pedestrians of different sizes, we adopt the Spatial Pyramid Pooling (SPP) layer in the discriminator. We conduct experiments on two benchmarks. The results show that our framework can smoothly synthesize pedestrians on background images of variations and different levels of details. To quantitatively evaluate our approach, we add the generated samples into training data of the baseline pedestrian detectors and show the synthetic images are able to improve the detectors' performance. 1 1 footnote 1 the code is available at"
36,"I finished a collection of short stories today. I started years ago, then stopped. I started again in 2011. I stopped until 2013. I wrote my 50,000th word tonight!"
37,"Michael had always wanted to see Los Angeles. He finally planned a trip to the famed city. In Los Angeles, Michael tried local food and visited museums. It was truly the trip of a lifetime. Michael is so happy he finally saw Los Angeles."
38,Harry and Lisa were married. Lisa would get angry at Harry because of his false promises. Lisa decided to give Harry an ultimatum. She told him to either keep his promises or get a divorce. Harry decided to get the divorce.
39,John was very lazy. He never cleaned up after himself. One day he noticed his room was clean. John's mother finally decided to clean it. John thanked her for it.
40," The company is offering free cryptocurrency when people use its orb-shaped devices to scan their irises. The device uses the image to create a unique code that can be used for identification without requiring a big database of biometric data. The platform has more than 100,000 users already and it aims to hit 1 billion users by 2023. Worldcoin could potentially be used as the infrastructure to carry out universal basic income."
41," The rides will be free for now. People who want to sign-up for a ride can do so on Cruise's website, which is linked in the article. Cruise currently operates five of its robotaxis around certain parts of San Francisco between 10 PM and 6 AM. The vehicles are authorized to travel at a top speed of 30 MPH. Cruise plans to expand to more cities soon. A video from Cruise showing its first few riders experiencing the driverless robotaxis is available in the article."
42," The device uses a patented electrospinning technology which creates nanofibers by applying a strong electric field to polymer solutions which then knit together in layers to form a nanofibrous mat that mimics skin. The polymer solution can be combined with antibacterial creams, antibiotics, collagen, silicon, hydrogel, or cannabinoids, depending on the patient's needs. Treatment is fast, and patients can take showers after only 2 days without the need to redress the wound. The device is set to launch in the second half of 2019."
43," Consistency is defined with respect to strong simulation conformance. We propose learning algorithms that use traditional and a new stochastic state-space partitioning, the latter resulting in the minimum number of states. We then use them to solve the problem of active learning, that uses a knowledgeable teacher to generate samples as counterexamples to simulation equivalence queries. We show that the problem is undecidable in general, but that it becomes decidable under a suitable condition on the teacher which comes naturally from the way samples are generated from failed simulation checks. The latter problem is shown to be undecidable if we impose an additional condition on the learner to always conjecture a minimum state hypothesis. We therefore propose a semi-algorithm using stochastic partitions. Finally, we apply the proposed (semi algorithms to infer intermediate assumptions in an automated assume-guarantee verification framework for probabilistic systems."
44," Employees of the superstore chain reported on Tuesday that they had been fired that day with zero notice. Some employees were tasked with shipping remaining merchandise back to suppliers for their last day of work. Fry's website has begun serving failure notices, but some of its subdomains remain active. The company has deleted its Facebook account and locked its Twitter profile. An official announcement is expected soon."
45," A popular model for such problems is to embed sentences into fixed size vectors, and use composition functions (e.g. concatenation or sum) of those vectors as features for the prediction. At the same time, composition of embeddings has been a main focus within the field of Statistical Relational Learning (SRL) whose goal is to predict relations between entities (typically from knowledge base triples). In this article, we show that previous work on relation prediction between texts implicitly uses compositions from baseline SRL models. We show that such compositions are not expressive enough for several tasks (e.g. natural language inference). We build on recent SRL models to address textual relational problems, showing that they are more expressive, and can alleviate issues from simpler compositions. The resulting models significantly improve the state of the art in both transferable sentence representation learning and relation prediction."
46," We are then able to employ attention-based NMT for many-to-many multilingual translation tasks. Our approach does not require any special treatment on the network architecture and it allows us to learn minimal number of free parameters in a standard way of training. Our approach has shown its effectiveness in an under-resourced translation scenario with considerable improvements up to 2.6 BLEU points. In addition, the approach has achieved interesting and promising results when applied in the translation task that there is no direct parallel corpus between source and target languages."
47,He thought maybe his cats would like it too. So when he made a batch he put some in their bowls. The cats refused to touch it though! That was the last time he would trust a cartoon cat!
48,Her friends began to get angry about it. One day they spread a rumor that Kerry had lice. This upset Kerry to the point of crying. Kerry learned her lesson about spreading gossip.
49," Reservoir computing is a growing paradigm for simplified training of recurrent neural networks, with a high potential for hardware implementations. Numerous experiments in optics and electronics yield comparable performance to digital state-of-the-art algorithms. Many of the most recent works in the field focus on large-scale photonic systems, with tens of thousands of physical nodes and arbitrary interconnections. While this trend significantly expands the potential applications of photonic reservoir computing, it also complicates the optimisation of the high number of hyper hyp parameters of the system. Methods. In this work, we propose the use of Bayesian optimisation for efficient exploration of the hyper hyp parameter space in a minimum number of iteration. Results. We test this approach on a previously reported large-scale experimental system, compare it to the commonly used grid search, and report notable improvements in performance and the number of experimental iterations required to optimise the hyper hyp parameters. Conclusion. Bayesian optimisation thus has the potential to become the standard method for tuning the hyper hyp parameters in photonic reservoir computing."
50,They brought their deaf dog with them. But all of the sudden she lost her dog. She couldn't call it because it was blind. Alaina really freaked out because of it and didn't find it.
51,I went to the tallest building in town. I climbed the long set of stairs that was inside. I was panting like crazy. I felt great when I finally made it to the top.
52,"As a joke, Roy requested an unpopular song to the radio station. At first the DJ refused. Roy called back from different phones and disguised his voice. The DJ began to think that this song was actually worth playing. After the 25th call in, the DJ played the song for Roy."
53," No other animal, apart from humans, has ever been seen treating the wounds of others. Self-medication with plant material is common, but the use of insects to treat wounds is unique. It is unknown which insects were used, or whether the treatment is effective. The behavior may be evidence that chimpanzees can display prosocial behaviors."
54,"Nina wanted to go to college, but she had a problem. She had no one to babysit her two toddlers. Then her chosen school opened a free daycare for students! Nina was ecstatic - her problem was solved! She signed up for classes the very next day."
55,"The text examines the problem of dynamic sensor activation for tracking a time-varying process, balancing energy efficiency and fidelity. The proposed methods combine Gibbs sampling and stochastic approximation for high performance, energy-efficient tracking with active sensor selection, showing efficacy and global optimality in some cases."
56,"Roy jokingly requested an unpopular song from the radio station, and after calling multiple times from different phones and disguising his voice, the DJ eventually played the song for him."
57,"Tom's car broke down on the freeway and he left it at the mechanic, but he never fixed it, resulting in him having to take the bus to work from then on."
58,"The professor covered a lot of material quickly in class, leaving students confused and unwilling to ask questions. Instead of pretending to listen, the speaker walked out and went to the library to review the material."
59,"The study presents a parallel elicitation-free protocol for the allocation of indivisible goods among agents, which operates by selecting agents to report their preferences each round, and then allocating objects randomly among those who chose them. This new method shows promise when compared empirically to the traditional sequential protocol and also considers strategic behavior in the allocation process."
60,"Startup Spaces, specializing in virtual reality, was acquired by Apple, leading to the cessation of its services. This aligns with rumors of Apple's upcoming AR and VR headsets, as evidenced by their investment in ARKit and the LiDAR scanner"
61,"Brad was nervous when the kids were picking teams for a basketball game at school, but he was eventually picked and felt relieved."
62,"Stanford University and SLAC researchers have found a method to create diamonds from a fossil fuel derivative using low heat and pressure, which is more energy-efficient compared to traditional synthesis but currently only produces tiny diamond specks."
63,"Google's Quick UDP Internet Connections (QUIC) has become an official Internet standard, offering faster encrypted connections and improved network switch handling by using UDP, potentially replacing the older TCP. Introduced in 2013 and considered for standardization in 2016, QUIC aims to modernize internet connectivity."
64,"Space Perspective plans to offer luxury cabin experiences in the upper atmosphere using giant balloons by 2024, having already sold over 600 tickets at $125,000 each, featuring Wi-"
65,"New search and rescue robots will reduce risks for first responders and help save lives, with drones providing information to firefighters and robots like Colossus aiding in firefighting efforts. However, lack of funding and public support are hindering the development of these technologies"
66,"Domain Specific Languages (DSLs) are tailored to a specific application domain, with two main approaches: standard notations with added properties and new notations designed from scratch. A meta-modelling approach using meta-packages allows for a standard way to define a wide range of DSLs, processed using standard object-based extension at the meta-level, with adaptable tooling."
67,"The paper introduces SECRET (Semantically Enhanced Classification of REal-world Tasks), a method that merges supervised machine learning with natural language processing to incorporate semantic relationships into the classification process. SECRET enhances classification performance by integrating the feature space of ML algorithms with the semantic space of NLP algorithms, resulting in significant improvements in accuracy and F1 scores over traditional supervised learning and ensemble methods."
68,"The development of dialogue systems is hindered by the lack of data for training, which cannot be easily obtained through pre-recorded data due to the need for user interactions. This study focuses on learning spoken language understanding and dialogue management modules through online learning, which is achieved through user trials and found to be effective after a few hundred training dialogues, surpassing expert-based systems."
69,"The paper explores the effectiveness of a likelihood encoder for lossy source compression, utilizing the soft-covering lemma to provide simple proofs for traditional source coding challenges, such as rate-distortion function and multi-terminal source coding. It also includes a non-asymptotic analysis of the point-to-point case and compares the likelihood encoder to recent methods involving random binning."
70,"BGP (Border Gateway Protocol) is crucial for sharing routing information on the Internet, and Facebook's recent outage happened when a configuration error led to their servers failing to announce their routes, rendering Facebook's DNS servers inaccessible."
71,"The US Army has unveiled augmented reality goggles for combat dogs, allowing them to receive orders remotely, with the handler able to see what the dog sees through a remote video feed, showing promising results in early research stages."
72,This paper discusses improving human pose estimation accuracy and efficiency by proposing gated skip connections with learnable parameters and a hybrid network combining HourGlass and U-Net architectures. The proposed model achieves state-of-the-art results on the MPII and LSP datasets with reduced model size and complexity.
73,"The seller has infinite copies of n products represented by graph nodes, with m consumers each wanting to buy two products based on their budget. The objective is to price the products to maximize profit, with the study focusing on special classes of graphs like those with bounded treewidth, bounded genus, and k-partite graphs. The study shows the existence of an FPTAS for GVP on graphs with bounded treewidth, along with other approximation algorithms for different types of graphs."
74,"A new approach to synthesizing whispered speech using handcrafted signal processing and Voice Conversion (VC) techniques, utilizing Gaussian Mixture Models (GMM) and Deep Neural Networks (DNN) to model the mapping between normal and whispered speech. This method was found to be significantly better than rule-based signal processing, achieving results indistinguishable from natural whisper recordings and showing little impact on perceived naturalness and speaker similarity when excluding the target speaker from the training set. This DNN method is now used in the newly released Whisper Mode of Amazon Alexa."
75,"Kate, startled by a raccoon near her garbage can on a dark night, ran to her house in fear, relieved to find the raccoon hadn't followed her inside."
76,"Karl woke up in a bad mood, spilled coffee on his shirt, swore, punched the door, changed, and left the house to meet his girlfriend at the beach where he took his shirt off.
"
77,"The paper introduces a modification to the Louvain community detection method that can handle changes in the graph without rerunning the full algorithm, resulting in a decrease in runtime without much loss of quality. This is achieved by recalculating only a small area around the changes, and the method is validated using a graph generator that produces specific community structures at given times."
78,"The acquisition of data remains a challenge for dialogue system design, with on-line learning being pursued as a solution. The study focuses on learning spoken language understanding and dialogue management modules through joint learning and user trials, confirming that on-line learning can be achieved after a few hundred training dialogues. The main difficulties are bootstrapping an initial basic system and controlling additional cost on the user side."
79,"The paper presents a new method called Generalized Basis Pursuit DeNoise (GBPDN) to recover sparse signals from Quantized Compressed Sensing (QCS) measurements by minimizing the 1-norm of the signal constrained by a weighted p-norm that accounts for quantization distortion. The method is shown to be efficient, stable, and capable of reducing reconstruction errors, especially under strong oversampling, with extensive simulations confirming the theory. GBPDN is also applicable to compressed sensing measurements affected by heteroscedastic Generalized Gaussian noise, offering provable error reduction."
80,"We examined a multi-armed bandit with a limited number of arms, where each arm operates as a homogeneous Markov process on a finite state space. One of the arms, known as the odd arm, has a transition law that is different from the common transition law of the other arms. A learner, lacking knowledge of these transition laws, must create a sequential test to quickly identify the odd arm without exceeding a certain probability of error. We have established a minimum expected stopping time for any sequential test as the probability of error approaches zero. Additionally, we have proposed a sequential test whose expected stopping time closely approaches this minimum. While previous research has focused on independent and identically distributed arms, our work specifically addresses Markov arms. This analysis of the Markov setting is an essential initial step in understanding the more complex case of restless Markov settings, which remains unexplored."
